id	wikidata	wiki_person	wiki_geburtsdatum	wiki_todesdatum	wiki_wohnort	wiki_beruf	wiki_url
17099835	checked						
17099842	checked						
17100904	checked						
17100909	checked						
17100911	checked						
17100916	checked						
17177554	checked						
17177648	checked						
17177655	checked						
17177662	checked						
17100923	checked						
17100928	checked						
17100935	checked						
17177561	checked						
17177566	checked						
17177612	checked						
17177624	checked						
17100942	checked						
17100947	checked						
17100954	checked						
17100959	checked						
17100961	checked						
17132786	checked						
17132793	checked						
17100966	checked						
17100973	checked						
17100978	checked						
17100980	checked						
17100985	checked						
17100992	checked						
17100997	checked						
17179790	checked						
17101003	checked						
17101008	checked						
17101010	checked						
17101015	checked						
17101022	checked						
17101027	checked						
17101034	checked						
17101039	checked						
17101041	checked						
17101046	checked						
17101053	checked						
17101058	checked						
17101060	checked						
17101065	checked						
17177585	checked						
17101072	checked						
17101077	checked						
17171518	checked						
17171520	checked						
17101084	checked						
17101089	checked						
17101091	checked						
17101096	checked						
17101104	checked						
17101109	checked						
17101111	checked						
17101116	checked						
17137798	checked						
17137806	checked						
17101123	checked						
17101128	checked						
17101130	checked						
17101135	checked						
17101142	checked						
17101147	checked						
17101154	checked						
17101159	checked						
17101161	checked						
17101166	checked						
17101173	checked						
17101178	checked						
17101180	checked						
17101185	checked						
17101192	checked						
17101197	checked						
17101200	checked						
17101205	checked						
17101212	checked						
17101217	checked						
17101224	checked						
17101229	checked						
17101231	checked						
17099145	checked						
17099152	checked						
17099157	checked						
17099164	checked						
17099169	checked						
17099171	checked						
17143430	checked						
17143442	checked						
17143461	checked						
17099176	checked						
17099183	checked						
17099188	checked						
17099190	checked						
17099195	checked						
17099203	checked						
17099208	checked						
17099210	checked						
17099215	checked						
17099222	checked						
17099227	checked						
17099234	checked						
17099239	checked						
17099241	checked						
17099246	checked						
17144609	checked						
17144623	checked						
17099253	checked						
17099258	checked						
17099260	checked						
17099265	checked						
17099272	checked						
17142211	checked						
17142230	checked						
17142348	checked						
17099277	checked						
17099284	checked						
17099289	checked						
17099291	checked						
17099296	checked						
17144666	checked						
17099304	checked						
17099309	checked						
17099311	checked						
17099316	checked						
17099323	checked						
17099328	checked						
17099330	checked						
17142576	checked						
17099335	checked						
17099342	checked						
17099347	checked						
17099354	checked						
17099359	checked						
17099361	checked						
17099366	checked						
17099373	checked						
17099378	checked						
17099380	checked						
17099385	checked						
17099392	checked						
17099397	checked						
17099400	checked						
17099405	checked						
17099412	checked						
17099417	checked						
17099424	checked						
17099429	checked						
17099431	checked						
17154653	checked						
17154728	checked						
17154754	checked						
17099436	checked						
17099443	checked						
17099448	checked						
17099450	checked						
17099455	checked						
17099462	checked						
17099467	checked						
17132111	checked						
17141249	checked						
17098774	checked						
17098779	checked						
17098781	checked						
17098786	checked						
17151008	checked						
17151010	checked						
17098793	checked						
17098798	checked						
17098801	checked						
17098806	checked						
17098813	checked						
17149495	checked						
17149527	checked						
17098818	checked						
17098820	checked						
17098825	checked						
17098832	checked						
17098837	checked						
17098844	checked						
17098849	checked						
17098851	checked						
17098856	checked						
17098863	checked						
17098868	checked						
17098870	checked						
17098875	checked						
17098882	checked						
17098887	checked						
17098894	checked						
17098899	checked						
17098902	checked						
17098907	checked						
17098914	checked						
17098919	checked						
17140335	checked						
17098921	checked						
17098926	checked						
17098933	checked						
17098938	checked						
17098940	checked						
17098945	checked						
17098952	checked						
17140621	checked						
17098957	checked						
17098964	checked						
17098969	checked						
17098971	checked						
17098976	checked						
17098983	checked						
17098988	checked						
17098990	checked						
17150372	checked						
17098995	checked						
17099001	checked						
17099006	checked						
17099013	checked						
17099018	checked						
17099020	checked						
17099025	checked						
17143012	checked						
17099032	checked						
17099037	checked						
17099044	checked						
17099049	checked						
17099051	checked						
17099056	checked						
17099063	checked						
17099068	checked						
17099070	checked						
17099075	checked						
17099082	checked						
17099087	checked						
17099094	checked						
17099099	checked						
17099102	checked						
17099107	checked						
17099114	checked						
17099119	checked						
17099121	checked						
17099126	checked						
17099133	checked						
17099138	checked						
17099140	checked						
17143271	checked						
17143288	checked						
17101591	checked						
17101596	checked						
17101604	checked						
17101609	checked						
17101611	checked						
17149469	checked						
17101616	checked						
17101623	checked						
17101630	checked						
17101635	checked						
17101642	checked						
17101647	checked						
17130615	checked						
17101654	checked						
17101659	checked						
17101661	checked						
17101666	checked						
17101673	checked						
17101678	checked						
17101680	checked						
17101685	checked						
17138638	checked						
17101692	checked						
17101697	checked						
17101700	checked						
